CollegeName,CollegeCode,CourseCode,Category,CutoffRank,Location,Year,Round
University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),E001,EE Electrical,STR,72997,Bangalore,2023,Round 1
University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),E001,IE Info.Science,1G,8475,Bangalore,2023,Round 1
University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),E001,IE Info.Science,2AG,5718,Bangalore,2023,Round 1
University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),E001,IE Info.Science,2AR,7313,Bangalore,2023,Round 1
University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),E001,IE Info.Science,2BG,8098,Bangalore,2023,Round 1
University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),E001,IE Info.Science,3AG,3566,Bangalore,2023,Round 1
University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),E001,IE Info.Science,3BG,4122,Bangalore,2023,Round 1
University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),E001,IE Info.Science,GM,3453,Bangalore,2023,Round 1
University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),E001,IE Info.Science,GMK,7193,Bangalore,2023,Round 1
University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),E001,IE Info.Science,GMR,5695,Bangalore,2023,Round 1
University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),E001,IE Info.Science,SCG,24191,Bangalore,2023,Round 1
University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),E001,IE Info.Science,SCK,31375,Bangalore,2023,Round 1
University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),E001,IE Info.Science,SCR,31745,Bangalore,2023,Round 1
University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),E001,IE Info.Science,STG,23218,Bangalore,2023,Round 1
University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),E001,IE Info.Science,STR,24028,Bangalore,2023,Round 1
University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),E001,ME Mechanical,1G,78384,Bangalore,2023,Round 1
University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),E001,ME Mechanical,1R,84665,Bangalore,2023,Round 1
University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),E001,ME Mechanical,2AG,78536,Bangalore,2023,Round 1
University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),E001,ME Mechanical,2AK,86868,Bangalore,2023,Round 1
University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),E001,ME Mechanical,2AR,88362,Bangalore,2023,Round 1
University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),E001,ME Mechanical,2BG,86388,Bangalore,2023,Round 1
University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),E001,ME Mechanical,2BR,138054,Bangalore,2023,Round 1
University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),E001,ME Mechanical,3AG,58156,Bangalore,2023,Round 1
University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),E001,ME Mechanical,3AR,82171,Bangalore,2023,Round 1
University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),E001,ME Mechanical,3BG,66106,Bangalore,2023,Round 1
University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),E001,ME Mechanical,3BK,77671,Bangalore,2023,Round 1
University of Visvesvaraya College of Engineering  Bangalore ( PUBLIC UNIV. ),E001,ME Mechanical,3BR,80740,Bangalore,2023,Round 1
